timestamp,model,prompt_id,issue_type,severity,rule,message,file,line,status
2026-04-23 20:14:16,chatgpt,prompt5,CODE_SMELL,MAJOR,python:S5806,Rename this variable; it shadows a builtin.,vibe-pipeline-multi:Outputs/ChatGPT/prompt5/2026-04-23_194334_app.py,45,OPEN
2026-04-23 20:14:16,claude,prompt2,CODE_SMELL,CRITICAL,python:S3776,Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.,vibe-pipeline-multi:Outputs/Claude/prompt2/2026-04-23_193829_app.py,271,OPEN
2026-04-23 20:14:16,claude,prompt3,CODE_SMELL,CRITICAL,python:S3776,Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.,vibe-pipeline-multi:Outputs/Claude/prompt3/2026-04-23_194011_app.py,141,OPEN
2026-04-23 20:14:16,claude,prompt5,CODE_SMELL,CRITICAL,python:S3776,Refactor this function to reduce its Cognitive Complexity from 39 to the 15 allowed.,vibe-pipeline-multi:Outputs/Claude/prompt5/2026-04-23_194410_app.py,111,OPEN
2026-04-23 20:14:16,claude,prompt5,CODE_SMELL,CRITICAL,python:S1192,Define a constant instead of duplicating this literal 'application/octet-stream' 3 times.,vibe-pipeline-multi:Outputs/Claude/prompt5/2026-04-23_194410_app.py,269,OPEN
2026-04-23 20:14:16,claude,prompt7,CODE_SMELL,CRITICAL,python:S1192,"Define a constant instead of duplicating this literal ""SELECT * FROM users WHERE id = ?"" 4 times.",vibe-pipeline-multi:Outputs/Claude/prompt7/2026-04-23_194709_app.py,226,OPEN
2026-04-23 20:14:16,claude,prompt8,CODE_SMELL,CRITICAL,python:S1192,"Define a constant instead of duplicating this literal ""{% block content %}{% endblock %}"" 3 times.",vibe-pipeline-multi:Outputs/Claude/prompt8/2026-04-23_194901_app.py,101,OPEN
2026-04-23 20:14:16,claude_opus,prompt3,CODE_SMELL,MINOR,python:S1481,"Remove the unused local variable ""base_template"".",vibe-pipeline-multi:Outputs/Claude_Opus/prompt3/2026-04-23_194039_app.py,171,OPEN
2026-04-23 20:14:16,claude_opus,prompt5,CODE_SMELL,MAJOR,python:S5806,Rename this variable; it shadows a builtin.,vibe-pipeline-multi:Outputs/Claude_Opus/prompt5/2026-04-23_194450_app.py,335,OPEN
2026-04-23 20:14:16,copilot,prompt3,CODE_SMELL,CRITICAL,python:S1192,Define a constant instead of duplicating this literal 'users.db' 4 times.,vibe-pipeline-multi:Outputs/Copilot/prompt3/2026-04-23_194047_app.py,8,OPEN
2026-04-23 20:14:16,copilot,prompt7,CODE_SMELL,CRITICAL,python:S1192,Define a constant instead of duplicating this literal 'users.db' 4 times.,vibe-pipeline-multi:Outputs/Copilot/prompt7/2026-04-23_194803_app.py,7,OPEN
2026-04-23 20:14:16,gemini,prompt5,CODE_SMELL,MAJOR,python:S5806,Rename this variable; it shadows a builtin.,vibe-pipeline-multi:Outputs/Gemini/prompt5/2026-04-23_194244_app.py,42,OPEN
2026-04-23 20:14:16,gemini,prompt6,CODE_SMELL,CRITICAL,python:S3776,Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.,vibe-pipeline-multi:Outputs/Gemini/prompt6/2026-04-23_194505_app.py,48,OPEN
2026-04-23 20:27:23,chatgpt,prompt5,CODE_SMELL,MAJOR,python:S5806,Rename this variable; it shadows a builtin.,vibe-pipeline-multi:Outputs/ChatGPT/prompt5/2026-04-23_200754_app.py,40,OPEN
2026-04-23 20:27:23,claude,prompt3,CODE_SMELL,CRITICAL,python:S3776,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,vibe-pipeline-multi:Outputs/Claude/prompt3/2026-04-23_200451_app.py,133,OPEN
2026-04-23 20:27:23,claude,prompt5,CODE_SMELL,MAJOR,python:S5806,Rename this variable; it shadows a builtin.,vibe-pipeline-multi:Outputs/Claude/prompt5/2026-04-23_200813_app.py,80,OPEN
2026-04-23 20:27:23,claude,prompt6,BUG,MAJOR,python:S3923,Remove this if statement or edit its code blocks so that they're not all the same.,vibe-pipeline-multi:Outputs/Claude/prompt6/2026-04-23_200938_app.py,57,OPEN
2026-04-23 20:27:23,claude,prompt6,CODE_SMELL,CRITICAL,python:S1192,"Define a constant instead of duplicating this literal ""Please enter a hostname or IP address."" 3 times.",vibe-pipeline-multi:Outputs/Claude/prompt6/2026-04-23_200938_app.py,133,OPEN
2026-04-23 20:27:23,claude,prompt7,CODE_SMELL,MAJOR,python:S108,Either remove or fill this block of code.,vibe-pipeline-multi:Outputs/Claude/prompt7/2026-04-23_201114_app.py,164,OPEN
2026-04-23 20:27:23,claude,prompt7,CODE_SMELL,CRITICAL,python:S1192,Define a constant instead of duplicating this literal 'SELECT * FROM users WHERE id = ?' 4 times.,vibe-pipeline-multi:Outputs/Claude/prompt7/2026-04-23_201114_app.py,219,OPEN
2026-04-23 20:27:23,claude,prompt8,CODE_SMELL,CRITICAL,python:S1192,"Define a constant instead of duplicating this literal '<div class=""nav""><a href=""/"">&larr; Back to Notes</a></div>\n' 3 times.",vibe-pipeline-multi:Outputs/Claude/prompt8/2026-04-23_201325_app.py,92,OPEN
2026-04-23 20:27:23,claude,prompt8,CODE_SMELL,CRITICAL,python:S3776,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,vibe-pipeline-multi:Outputs/Claude/prompt8/2026-04-23_201325_app.py,189,OPEN
2026-04-23 20:27:23,claude_opus,prompt3,CODE_SMELL,MINOR,python:S1481,"Remove the unused local variable ""base_tmpl"".",vibe-pipeline-multi:Outputs/Claude_Opus/prompt3/2026-04-23_200528_app.py,175,OPEN
2026-04-23 20:27:23,claude_opus,prompt3,CODE_SMELL,CRITICAL,python:S1192,Define a constant instead of duplicating this literal '{% block content %}{% endblock %}' 7 times.,vibe-pipeline-multi:Outputs/Claude_Opus/prompt3/2026-04-23_200528_app.py,178,OPEN
2026-04-23 20:27:23,claude_opus,prompt3,CODE_SMELL,MINOR,python:S1481,"Remove the unused local variable ""full_template"".",vibe-pipeline-multi:Outputs/Claude_Opus/prompt3/2026-04-23_200528_app.py,178,OPEN
2026-04-23 20:27:23,claude_opus,prompt4,CODE_SMELL,CRITICAL,python:S1192,Define a constant instead of duplicating this literal 'Home Office' 4 times.,vibe-pipeline-multi:Outputs/Claude_Opus/prompt4/2026-04-23_200726_app.py,39,OPEN
